Sr.No.,Country,AgeGroup,Sex,MaritalStatus,DataProcess,Data Collection (Start Year),Data Collection (End Year),Data Source
1376,Albania,[15-19],Man,Married,Survey,2017,2018,DHS_STATcompiler
1377,Albania,[20-24],Man,Married,Survey,2017,2018,DHS_STATcompiler
1378,Albania,[25-29],Man,Married,Survey,2017,2018,DHS_STATcompiler
1379,Albania,[30-34],Man,Married,Survey,2017,2018,DHS_STATcompiler
1380,Albania,[35-39],Man,Married,Survey,2017,2018,DHS_STATcompiler
1381,Albania,[40-44],Man,Married,Survey,2017,2018,DHS_STATcompiler
1382,Albania,[45-49],Man,Married,Survey,2017,2018,DHS_STATcompiler
1383,Albania,[15-19],Man,Never married,Survey,2017,2018,DHS_STATcompiler
1384,Albania,[20-24],Man,Never married,Survey,2017,2018,DHS_STATcompiler
1385,Albania,[25-29],Man,Never married,Survey,2017,2018,DHS_STATcompiler
1386,Albania,[30-34],Man,Never married,Survey,2017,2018,DHS_STATcompiler
1387,Albania,[35-39],Man,Never married,Survey,2017,2018,DHS_STATcompiler
1388,Albania,[40-44],Man,Never married,Survey,2017,2018,DHS_STATcompiler
1389,Albania,[45-49],Man,Never married,Survey,2017,2018,DHS_STATcompiler
1390,Albania,[15-19],Man,Not living together,Survey,2017,2018,DHS_STATcompiler
1391,Albania,[20-24],Man,Not living together,Survey,2017,2018,DHS_STATcompiler
1392,Albania,[25-29],Man,Not living together,Survey,2017,2018,DHS_STATcompiler
1393,Albania,[30-34],Man,Not living together,Survey,2017,2018,DHS_STATcompiler
1394,Albania,[35-39],Man,Not living together,Survey,2017,2018,DHS_STATcompiler
1395,Albania,[40-44],Man,Not living together,Survey,2017,2018,DHS_STATcompiler
1396,Albania,[45-49],Man,Not living together,Survey,2017,2018,DHS_STATcompiler
1397,Albania,[15-19],Man,Widowed,Survey,2017,2018,DHS_STATcompiler
1398,Albania,[20-24],Man,Widowed,Survey,2017,2018,DHS_STATcompiler
1399,Albania,[25-29],Man,Widowed,Survey,2017,2018,DHS_STATcompiler
1400,Albania,[30-34],Man,Widowed,Survey,2017,2018,DHS_STATcompiler
1401,Albania,[35-39],Man,Widowed,Survey,2017,2018,DHS_STATcompiler
1402,Albania,[40-44],Man,Widowed,Survey,2017,2018,DHS_STATcompiler
1403,Albania,[45-49],Man,Widowed,Survey,2017,2018,DHS_STATcompiler
1404,Albania,[15-19],Woman,Divorced,Survey,2017,2018,DHS_STATcompiler
1405,Albania,[20-24],Woman,Divorced,Survey,2017,2018,DHS_STATcompiler
1406,Albania,[25-29],Woman,Divorced,Survey,2017,2018,DHS_STATcompiler
1407,Albania,[30-34],Woman,Divorced,Survey,2017,2018,DHS_STATcompiler
1408,Albania,[35-39],Woman,Divorced,Survey,2017,2018,DHS_STATcompiler
1409,Albania,[40-44],Woman,Divorced,Survey,2017,2018,DHS_STATcompiler
1410,Albania,[45-49],Woman,Divorced,Survey,2017,2018,DHS_STATcompiler
1411,Albania,[15-19],Woman,Living together,Survey,2017,2018,DHS_STATcompiler
1412,Albania,[20-24],Woman,Living together,Survey,2017,2018,DHS_STATcompiler
1413,Albania,[25-29],Woman,Living together,Survey,2017,2018,DHS_STATcompiler
1414,Albania,[30-34],Woman,Living together,Survey,2017,2018,DHS_STATcompiler
1415,Albania,[35-39],Woman,Living together,Survey,2017,2018,DHS_STATcompiler
1416,Albania,[40-44],Woman,Living together,Survey,2017,2018,DHS_STATcompiler
1417,Albania,[45-49],Woman,Living together,Survey,2017,2018,DHS_STATcompiler
1418,Albania,[15-19],Woman,Married,Survey,2017,2018,DHS_STATcompiler
1419,Albania,[20-24],Woman,Married,Survey,2017,2018,DHS_STATcompiler
1420,Albania,[25-29],Woman,Married,Survey,2017,2018,DHS_STATcompiler
1421,Albania,[30-34],Woman,Married,Survey,2017,2018,DHS_STATcompiler
1422,Albania,[35-39],Woman,Married,Survey,2017,2018,DHS_STATcompiler
1423,Albania,[40-44],Woman,Married,Survey,2017,2018,DHS_STATcompiler
1424,Albania,[45-49],Woman,Married,Survey,2017,2018,DHS_STATcompiler
1425,Albania,[15-19],Woman,Never married,Survey,2017,2018,DHS_STATcompiler
1426,Albania,[20-24],Woman,Never married,Survey,2017,2018,DHS_STATcompiler
1427,Albania,[25-29],Woman,Never married,Survey,2017,2018,DHS_STATcompiler
1428,Albania,[30-34],Woman,Never married,Survey,2017,2018,DHS_STATcompiler
1429,Albania,[35-39],Woman,Never married,Survey,2017,2018,DHS_STATcompiler
1430,Albania,[40-44],Woman,Never married,Survey,2017,2018,DHS_STATcompiler
1431,Albania,[45-49],Woman,Never married,Survey,2017,2018,DHS_STATcompiler
1432,Albania,[15-19],Woman,Not living together,Survey,2017,2018,DHS_STATcompiler
1433,Albania,[20-24],Woman,Not living together,Survey,2017,2018,DHS_STATcompiler
1434,Albania,[25-29],Woman,Not living together,Survey,2017,2018,DHS_STATcompiler
1435,Albania,[30-34],Woman,Not living together,Survey,2017,2018,DHS_STATcompiler
1436,Albania,[35-39],Woman,Not living together,Survey,2017,2018,DHS_STATcompiler
1437,Albania,[40-44],Woman,Not living together,Survey,2017,2018,DHS_STATcompiler
1438,Albania,[45-49],Woman,Not living together,Survey,2017,2018,DHS_STATcompiler
1439,Albania,[15-19],Woman,Widowed,Survey,2017,2018,DHS_STATcompiler
1440,Albania,[20-24],Woman,Widowed,Survey,2017,2018,DHS_STATcompiler
1441,Albania,[25-29],Woman,Widowed,Survey,2017,2018,DHS_STATcompiler
1442,Albania,[30-34],Woman,Widowed,Survey,2017,2018,DHS_STATcompiler
1443,Albania,[35-39],Woman,Widowed,Survey,2017,2018,DHS_STATcompiler
1444,Albania,[40-44],Woman,Widowed,Survey,2017,2018,DHS_STATcompiler
1445,Albania,[45-49],Woman,Widowed,Survey,2017,2018,DHS_STATcompiler
1446,Algeria,[15-19],Man,Divorced or Separated,Census,1977,1977,US Census Bureau
1447,Algeria,[20-24],Man,Divorced or Separated,Census,1977,1977,US Census Bureau
1448,Algeria,[25-29],Man,Divorced or Separated,Census,1977,1977,US Census Bureau
1449,Algeria,[30-34],Man,Divorced or Separated,Census,1977,1977,US Census Bureau
1450,Algeria,[35-39],Man,Divorced or Separated,Census,1977,1977,US Census Bureau
1451,Algeria,[40-44],Man,Divorced or Separated,Census,1977,1977,US Census Bureau
1452,Algeria,[45-49],Man,Divorced or Separated,Census,1977,1977,US Census Bureau
1453,Algeria,[50-54],Man,Divorced or Separated,Census,1977,1977,US Census Bureau
1454,Algeria,[55-59],Man,Divorced or Separated,Census,1977,1977,US Census Bureau
1455,Algeria,[60-64],Man,Divorced or Separated,Census,1977,1977,US Census Bureau
1456,Algeria,[65-69],Man,Divorced or Separated,Census,1977,1977,US Census Bureau
1457,Algeria,[65+],Man,Divorced or Separated,Census,1977,1977,US Census Bureau
1458,Algeria,[15-19],Man,Married,Census,1977,1977,US Census Bureau
1459,Algeria,[20-24],Man,Married,Census,1977,1977,US Census Bureau
1460,Algeria,[25-29],Man,Married,Census,1977,1977,US Census Bureau
1461,Algeria,[30-34],Man,Married,Census,1977,1977,US Census Bureau
1462,Algeria,[35-39],Man,Married,Census,1977,1977,US Census Bureau
1463,Algeria,[40-44],Man,Married,Census,1977,1977,US Census Bureau
1464,Algeria,[45-49],Man,Married,Census,1977,1977,US Census Bureau
1465,Algeria,[50-54],Man,Married,Census,1977,1977,US Census Bureau
1466,Algeria,[55-59],Man,Married,Census,1977,1977,US Census Bureau
1467,Algeria,[60-64],Man,Married,Census,1977,1977,US Census Bureau
1468,Algeria,[65+],Man,Married,Census,1977,1977,US Census Bureau
1469,Algeria,[65-69],Man,Married,Census,1977,1977,US Census Bureau
1470,Algeria,[15-19],Man,Single,Census,1977,1977,US Census Bureau
1471,Algeria,[20-24],Man,Single,Census,1977,1977,US Census Bureau
1472,Algeria,[25-29],Man,Single,Census,1977,1977,US Census Bureau
1473,Algeria,[30-34],Man,Single,Census,1977,1977,US Census Bureau
1474,Algeria,[35-39],Man,Single,Census,1977,1977,US Census Bureau
1475,Algeria,[40-44],Man,Single,Census,1977,1977,US Census Bureau
1476,Algeria,[45-49],Man,Single,Census,1977,1977,US Census Bureau
1477,Algeria,[50-54],Man,Single,Census,1977,1977,US Census Bureau
1478,Algeria,[55-59],Man,Single,Census,1977,1977,US Census Bureau
1479,Algeria,[60-64],Man,Single,Census,1977,1977,US Census Bureau
1480,Algeria,[65-69],Man,Single,Census,1977,1977,US Census Bureau
1481,Algeria,[65+],Man,Single,Census,1977,1977,US Census Bureau
1482,Algeria,[15-19],Man,Widowed,Census,1977,1977,US Census Bureau
1483,Algeria,[20-24],Man,Widowed,Census,1977,1977,US Census Bureau
1484,Algeria,[25-29],Man,Widowed,Census,1977,1977,US Census Bureau
1485,Algeria,[30-34],Man,Widowed,Census,1977,1977,US Census Bureau
1486,Algeria,[35-39],Man,Widowed,Census,1977,1977,US Census Bureau
1487,Algeria,[40-44],Man,Widowed,Census,1977,1977,US Census Bureau
1488,Algeria,[45-49],Man,Widowed,Census,1977,1977,US Census Bureau
1489,Algeria,[50-54],Man,Widowed,Census,1977,1977,US Census Bureau
1490,Algeria,[55-59],Man,Widowed,Census,1977,1977,US Census Bureau
1491,Algeria,[60-64],Man,Widowed,Census,1977,1977,US Census Bureau
1492,Algeria,[65+],Man,Widowed,Census,1977,1977,US Census Bureau
1493,Algeria,[65-69],Man,Widowed,Census,1977,1977,US Census Bureau
1494,Algeria,[15-19],Woman,Divorced or Separated,Census,1977,1977,US Census Bureau
1495,Algeria,[20-24],Woman,Divorced or Separated,Census,1977,1977,US Census Bureau
1496,Algeria,[25-29],Woman,Divorced or Separated,Census,1977,1977,US Census Bureau
1497,Algeria,[30-34],Woman,Divorced or Separated,Census,1977,1977,US Census Bureau
1498,Algeria,[35-39],Woman,Divorced or Separated,Census,1977,1977,US Census Bureau
1499,Algeria,[40-44],Woman,Divorced or Separated,Census,1977,1977,US Census Bureau
1500,Algeria,[45-49],Woman,Divorced or Separated,Census,1977,1977,US Census Bureau
1501,Algeria,[50-54],Woman,Divorced or Separated,Census,1977,1977,US Census Bureau
1502,Algeria,[55-59],Woman,Divorced or Separated,Census,1977,1977,US Census Bureau
1503,Algeria,[60-64],Woman,Divorced or Separated,Census,1977,1977,US Census Bureau
1504,Algeria,[65-69],Woman,Divorced or Separated,Census,1977,1977,US Census Bureau
1505,Algeria,[65+],Woman,Divorced or Separated,Census,1977,1977,US Census Bureau
1506,Algeria,[15-19],Woman,Married,Census,1977,1977,US Census Bureau
1507,Algeria,[20-24],Woman,Married,Census,1977,1977,US Census Bureau
1508,Algeria,[25-29],Woman,Married,Census,1977,1977,US Census Bureau
1509,Algeria,[30-34],Woman,Married,Census,1977,1977,US Census Bureau
1510,Algeria,[35-39],Woman,Married,Census,1977,1977,US Census Bureau
1511,Algeria,[40-44],Woman,Married,Census,1977,1977,US Census Bureau
1512,Algeria,[45-49],Woman,Married,Census,1977,1977,US Census Bureau
1513,Algeria,[50-54],Woman,Married,Census,1977,1977,US Census Bureau
1514,Algeria,[55-59],Woman,Married,Census,1977,1977,US Census Bureau
1515,Algeria,[60-64],Woman,Married,Census,1977,1977,US Census Bureau
1516,Algeria,[65+],Woman,Married,Census,1977,1977,US Census Bureau
1517,Algeria,[65-69],Woman,Married,Census,1977,1977,US Census Bureau
1518,Algeria,[15-19],Woman,Single,Census,1977,1977,US Census Bureau
1519,Algeria,[20-24],Woman,Single,Census,1977,1977,US Census Bureau
1520,Algeria,[25-29],Woman,Single,Census,1977,1977,US Census Bureau
1521,Algeria,[30-34],Woman,Single,Census,1977,1977,US Census Bureau
1522,Algeria,[35-39],Woman,Single,Census,1977,1977,US Census Bureau
1523,Algeria,[40-44],Woman,Single,Census,1977,1977,US Census Bureau
1524,Algeria,[45-49],Woman,Single,Census,1977,1977,US Census Bureau
1525,Algeria,[50-54],Woman,Single,Census,1977,1977,US Census Bureau
1526,Algeria,[55-59],Woman,Single,Census,1977,1977,US Census Bureau
1527,Algeria,[60-64],Woman,Single,Census,1977,1977,US Census Bureau
1528,Algeria,[65-69],Woman,Single,Census,1977,1977,US Census Bureau
1529,Algeria,[65+],Woman,Single,Census,1977,1977,US Census Bureau
1530,Algeria,[15-19],Woman,Widowed,Census,1977,1977,US Census Bureau
1531,Algeria,[20-24],Woman,Widowed,Census,1977,1977,US Census Bureau
1532,Algeria,[25-29],Woman,Widowed,Census,1977,1977,US Census Bureau
1533,Algeria,[30-34],Woman,Widowed,Census,1977,1977,US Census Bureau
1534,Algeria,[35-39],Woman,Widowed,Census,1977,1977,US Census Bureau
1535,Algeria,[40-44],Woman,Widowed,Census,1977,1977,US Census Bureau
1536,Algeria,[45-49],Woman,Widowed,Census,1977,1977,US Census Bureau
1537,Algeria,[50-54],Woman,Widowed,Census,1977,1977,US Census Bureau
1538,Algeria,[55-59],Woman,Widowed,Census,1977,1977,US Census Bureau
1539,Algeria,[60-64],Woman,Widowed,Census,1977,1977,US Census Bureau
1540,Algeria,[65+],Woman,Widowed,Census,1977,1977,US Census Bureau
1541,Algeria,[65-69],Woman,Widowed,Census,1977,1977,US Census Bureau
1542,Algeria,[10-14],Man,Divorced,Census,1987,1987,UNSD
1543,Algeria,[15-19],Man,Divorced,Census,1987,1987,UNSD
1544,Algeria,[20-24],Man,Divorced,Census,1987,1987,UNSD
1545,Algeria,[25-29],Man,Divorced,Census,1987,1987,UNSD
1546,Algeria,[30-34],Man,Divorced,Census,1987,1987,UNSD
1547,Algeria,[35-39],Man,Divorced,Census,1987,1987,UNSD
1548,Algeria,[40-44],Man,Divorced,Census,1987,1987,UNSD
1549,Algeria,[45-49],Man,Divorced,Census,1987,1987,UNSD
1550,Algeria,[50-54],Man,Divorced,Census,1987,1987,UNSD
1551,Algeria,[55-59],Man,Divorced,Census,1987,1987,UNSD
1552,Algeria,[60-64],Man,Divorced,Census,1987,1987,UNSD
1553,Algeria,[65+],Man,Divorced,Census,1987,1987,UNSD
1554,Algeria,[10-14],Man,Married,Census,1987,1987,UNSD
1555,Algeria,[15-19],Man,Married,Census,1987,1987,UNSD
1556,Algeria,[20-24],Man,Married,Census,1987,1987,UNSD
1557,Algeria,[25-29],Man,Married,Census,1987,1987,UNSD
1558,Algeria,[30-34],Man,Married,Census,1987,1987,UNSD
1559,Algeria,[35-39],Man,Married,Census,1987,1987,UNSD
1560,Algeria,[40-44],Man,Married,Census,1987,1987,UNSD
1561,Algeria,[45-49],Man,Married,Census,1987,1987,UNSD
1562,Algeria,[50-54],Man,Married,Census,1987,1987,UNSD
1563,Algeria,[55-59],Man,Married,Census,1987,1987,UNSD
1564,Algeria,[60-64],Man,Married,Census,1987,1987,UNSD
1565,Algeria,[65+],Man,Married,Census,1987,1987,UNSD
1566,Algeria,[10-14],Man,Separated,Census,1987,1987,UNSD
1567,Algeria,[15-19],Man,Separated,Census,1987,1987,UNSD
1568,Algeria,[20-24],Man,Separated,Census,1987,1987,UNSD
1569,Algeria,[25-29],Man,Separated,Census,1987,1987,UNSD
1570,Algeria,[30-34],Man,Separated,Census,1987,1987,UNSD
1571,Algeria,[35-39],Man,Separated,Census,1987,1987,UNSD
1572,Algeria,[40-44],Man,Separated,Census,1987,1987,UNSD
1573,Algeria,[45-49],Man,Separated,Census,1987,1987,UNSD
1574,Algeria,[50-54],Man,Separated,Census,1987,1987,UNSD
1575,Algeria,[55-59],Man,Separated,Census,1987,1987,UNSD
1576,Algeria,[60-64],Man,Separated,Census,1987,1987,UNSD
1577,Algeria,[65+],Man,Separated,Census,1987,1987,UNSD
1578,Algeria,[10-14],Man,Single,Census,1987,1987,UNSD
1579,Algeria,[15-19],Man,Single,Census,1987,1987,UNSD
1580,Algeria,[20-24],Man,Single,Census,1987,1987,UNSD
1581,Algeria,[25-29],Man,Single,Census,1987,1987,UNSD
1582,Algeria,[30-34],Man,Single,Census,1987,1987,UNSD
1583,Algeria,[35-39],Man,Single,Census,1987,1987,UNSD
1584,Algeria,[40-44],Man,Single,Census,1987,1987,UNSD
1585,Algeria,[45-49],Man,Single,Census,1987,1987,UNSD
1586,Algeria,[50-54],Man,Single,Census,1987,1987,UNSD
1587,Algeria,[55-59],Man,Single,Census,1987,1987,UNSD
1588,Algeria,[60-64],Man,Single,Census,1987,1987,UNSD
1589,Algeria,[65+],Man,Single,Census,1987,1987,UNSD
1590,Algeria,[10-14],Man,Widowed,Census,1987,1987,UNSD
1591,Algeria,[15-19],Man,Widowed,Census,1987,1987,UNSD
1592,Algeria,[20-24],Man,Widowed,Census,1987,1987,UNSD
1593,Algeria,[25-29],Man,Widowed,Census,1987,1987,UNSD
1594,Algeria,[30-34],Man,Widowed,Census,1987,1987,UNSD
1595,Algeria,[35-39],Man,Widowed,Census,1987,1987,UNSD
1596,Algeria,[40-44],Man,Widowed,Census,1987,1987,UNSD
1597,Algeria,[45-49],Man,Widowed,Census,1987,1987,UNSD
1598,Algeria,[50-54],Man,Widowed,Census,1987,1987,UNSD
1599,Algeria,[55-59],Man,Widowed,Census,1987,1987,UNSD
1600,Algeria,[60-64],Man,Widowed,Census,1987,1987,UNSD
1601,Algeria,[65+],Man,Widowed,Census,1987,1987,UNSD
1602,Algeria,[10-14],Woman,Divorced,Census,1987,1987,UNSD
1603,Algeria,[15-19],Woman,Divorced,Census,1987,1987,UNSD
1604,Algeria,[20-24],Woman,Divorced,Census,1987,1987,UNSD
1605,Algeria,[25-29],Woman,Divorced,Census,1987,1987,UNSD
1606,Algeria,[30-34],Woman,Divorced,Census,1987,1987,UNSD
1607,Algeria,[35-39],Woman,Divorced,Census,1987,1987,UNSD
1608,Algeria,[40-44],Woman,Divorced,Census,1987,1987,UNSD
1609,Algeria,[45-49],Woman,Divorced,Census,1987,1987,UNSD
1610,Algeria,[50-54],Woman,Divorced,Census,1987,1987,UNSD
1611,Algeria,[55-59],Woman,Divorced,Census,1987,1987,UNSD
1612,Algeria,[60-64],Woman,Divorced,Census,1987,1987,UNSD
1613,Algeria,[65+],Woman,Divorced,Census,1987,1987,UNSD
1614,Algeria,[10-14],Woman,Married,Census,1987,1987,UNSD
1615,Algeria,[15-19],Woman,Married,Census,1987,1987,UNSD
1616,Algeria,[20-24],Woman,Married,Census,1987,1987,UNSD
1617,Algeria,[25-29],Woman,Married,Census,1987,1987,UNSD
1618,Algeria,[30-34],Woman,Married,Census,1987,1987,UNSD
1619,Algeria,[35-39],Woman,Married,Census,1987,1987,UNSD
1620,Algeria,[40-44],Woman,Married,Census,1987,1987,UNSD
1621,Algeria,[45-49],Woman,Married,Census,1987,1987,UNSD
1622,Algeria,[50-54],Woman,Married,Census,1987,1987,UNSD
1623,Algeria,[55-59],Woman,Married,Census,1987,1987,UNSD
1624,Algeria,[60-64],Woman,Married,Census,1987,1987,UNSD
1625,Algeria,[65+],Woman,Married,Census,1987,1987,UNSD
1626,Algeria,[10-14],Woman,Separated,Census,1987,1987,UNSD
1627,Algeria,[15-19],Woman,Separated,Census,1987,1987,UNSD
1628,Algeria,[20-24],Woman,Separated,Census,1987,1987,UNSD
1629,Algeria,[25-29],Woman,Separated,Census,1987,1987,UNSD
1630,Algeria,[30-34],Woman,Separated,Census,1987,1987,UNSD
1631,Algeria,[35-39],Woman,Separated,Census,1987,1987,UNSD
1632,Algeria,[40-44],Woman,Separated,Census,1987,1987,UNSD
1633,Algeria,[45-49],Woman,Separated,Census,1987,1987,UNSD
1634,Algeria,[50-54],Woman,Separated,Census,1987,1987,UNSD
1635,Algeria,[55-59],Woman,Separated,Census,1987,1987,UNSD
1636,Algeria,[60-64],Woman,Separated,Census,1987,1987,UNSD
1637,Algeria,[65+],Woman,Separated,Census,1987,1987,UNSD
1638,Algeria,[10-14],Woman,Single,Census,1987,1987,UNSD
1639,Algeria,[15-19],Woman,Single,Census,1987,1987,UNSD
1640,Algeria,[20-24],Woman,Single,Census,1987,1987,UNSD
1641,Algeria,[25-29],Woman,Single,Census,1987,1987,UNSD
1642,Algeria,[30-34],Woman,Single,Census,1987,1987,UNSD
1643,Algeria,[35-39],Woman,Single,Census,1987,1987,UNSD
1644,Algeria,[40-44],Woman,Single,Census,1987,1987,UNSD
1645,Algeria,[45-49],Woman,Single,Census,1987,1987,UNSD
1646,Algeria,[50-54],Woman,Single,Census,1987,1987,UNSD
1647,Algeria,[55-59],Woman,Single,Census,1987,1987,UNSD
1648,Algeria,[60-64],Woman,Single,Census,1987,1987,UNSD
1649,Algeria,[65+],Woman,Single,Census,1987,1987,UNSD
1650,Algeria,[10-14],Woman,Widowed,Census,1987,1987,UNSD
1651,Algeria,[15-19],Woman,Widowed,Census,1987,1987,UNSD
1652,Algeria,[20-24],Woman,Widowed,Census,1987,1987,UNSD
1653,Algeria,[25-29],Woman,Widowed,Census,1987,1987,UNSD
1654,Algeria,[30-34],Woman,Widowed,Census,1987,1987,UNSD
1655,Algeria,[35-39],Woman,Widowed,Census,1987,1987,UNSD
1656,Algeria,[40-44],Woman,Widowed,Census,1987,1987,UNSD
1657,Algeria,[45-49],Woman,Widowed,Census,1987,1987,UNSD
1658,Algeria,[50-54],Woman,Widowed,Census,1987,1987,UNSD
1659,Algeria,[55-59],Woman,Widowed,Census,1987,1987,UNSD
1660,Algeria,[60-64],Woman,Widowed,Census,1987,1987,UNSD
1661,Algeria,[65+],Woman,Widowed,Census,1987,1987,UNSD
1662,Algeria,[15-19],Woman,Divorced or Separated,Survey,1992,1992,PAPCHILD
1663,Algeria,[20-24],Woman,Divorced or Separated,Survey,1992,1992,PAPCHILD
1664,Algeria,[25-29],Woman,Divorced or Separated,Survey,1992,1992,PAPCHILD
1665,Algeria,[30-34],Woman,Divorced or Separated,Survey,1992,1992,PAPCHILD
1666,Algeria,[35-39],Woman,Divorced or Separated,Survey,1992,1992,PAPCHILD
1667,Algeria,[40-44],Woman,Divorced or Separated,Survey,1992,1992,PAPCHILD
1668,Algeria,[45-49],Woman,Divorced or Separated,Survey,1992,1992,PAPCHILD
1669,Algeria,[15-19],Woman,Married,Survey,1992,1992,PAPCHILD
1670,Algeria,[20-24],Woman,Married,Survey,1992,1992,PAPCHILD
1671,Algeria,[25-29],Woman,Married,Survey,1992,1992,PAPCHILD
1672,Algeria,[30-34],Woman,Married,Survey,1992,1992,PAPCHILD
1673,Algeria,[35-39],Woman,Married,Survey,1992,1992,PAPCHILD
1674,Algeria,[40-44],Woman,Married,Survey,1992,1992,PAPCHILD
1675,Algeria,[45-49],Woman,Married,Survey,1992,1992,PAPCHILD
1676,Algeria,[15-19],Woman,Single,Survey,1992,1992,PAPCHILD
1677,Algeria,[20-24],Woman,Single,Survey,1992,1992,PAPCHILD
1678,Algeria,[25-29],Woman,Single,Survey,1992,1992,PAPCHILD
1679,Algeria,[30-34],Woman,Single,Survey,1992,1992,PAPCHILD
1680,Algeria,[35-39],Woman,Single,Survey,1992,1992,PAPCHILD
1681,Algeria,[40-44],Woman,Single,Survey,1992,1992,PAPCHILD
1682,Algeria,[45-49],Woman,Single,Survey,1992,1992,PAPCHILD
1683,Algeria,[15-19],Woman,Widowed,Survey,1992,1992,PAPCHILD
1684,Algeria,[20-24],Woman,Widowed,Survey,1992,1992,PAPCHILD
1685,Algeria,[25-29],Woman,Widowed,Survey,1992,1992,PAPCHILD
1686,Algeria,[30-34],Woman,Widowed,Survey,1992,1992,PAPCHILD
1687,Algeria,[35-39],Woman,Widowed,Survey,1992,1992,PAPCHILD
1688,Algeria,[40-44],Woman,Widowed,Survey,1992,1992,PAPCHILD
1689,Algeria,[45-49],Woman,Widowed,Survey,1992,1992,PAPCHILD
1690,Algeria,[15-19],Man,Divorced,Survey,2002,2002,PAPFAM
1691,Algeria,[20-24],Man,Divorced,Survey,2002,2002,PAPFAM
1692,Algeria,[25-29],Man,Divorced,Survey,2002,2002,PAPFAM
1693,Algeria,[30-34],Man,Divorced,Survey,2002,2002,PAPFAM
1694,Algeria,[35-39],Man,Divorced,Survey,2002,2002,PAPFAM
1695,Algeria,[40-44],Man,Divorced,Survey,2002,2002,PAPFAM
1696,Algeria,[45-49],Man,Divorced,Survey,2002,2002,PAPFAM
1697,Algeria,[50-54],Man,Divorced,Survey,2002,2002,PAPFAM
1698,Algeria,[55-59],Man,Divorced,Survey,2002,2002,PAPFAM
1699,Algeria,[60-64],Man,Divorced,Survey,2002,2002,PAPFAM
1700,Algeria,[65-69],Man,Divorced,Survey,2002,2002,PAPFAM
1701,Algeria,[15-19],Man,Married,Survey,2002,2002,PAPFAM
1702,Algeria,[20-24],Man,Married,Survey,2002,2002,PAPFAM
1703,Algeria,[25-29],Man,Married,Survey,2002,2002,PAPFAM
1704,Algeria,[30-34],Man,Married,Survey,2002,2002,PAPFAM
1705,Algeria,[35-39],Man,Married,Survey,2002,2002,PAPFAM
1706,Algeria,[40-44],Man,Married,Survey,2002,2002,PAPFAM
1707,Algeria,[45-49],Man,Married,Survey,2002,2002,PAPFAM
1708,Algeria,[50-54],Man,Married,Survey,2002,2002,PAPFAM
1709,Algeria,[55-59],Man,Married,Survey,2002,2002,PAPFAM
1710,Algeria,[60-64],Man,Married,Survey,2002,2002,PAPFAM
1711,Algeria,[65-69],Man,Married,Survey,2002,2002,PAPFAM
1712,Algeria,[15-19],Man,Single,Survey,2002,2002,PAPFAM
1713,Algeria,[20-24],Man,Single,Survey,2002,2002,PAPFAM
1714,Algeria,[25-29],Man,Single,Survey,2002,2002,PAPFAM
1715,Algeria,[30-34],Man,Single,Survey,2002,2002,PAPFAM
1716,Algeria,[35-39],Man,Single,Survey,2002,2002,PAPFAM
1717,Algeria,[40-44],Man,Single,Survey,2002,2002,PAPFAM
1718,Algeria,[45-49],Man,Single,Survey,2002,2002,PAPFAM
1719,Algeria,[50-54],Man,Single,Survey,2002,2002,PAPFAM
1720,Algeria,[55-59],Man,Single,Survey,2002,2002,PAPFAM
1721,Algeria,[60-64],Man,Single,Survey,2002,2002,PAPFAM
1722,Algeria,[65-69],Man,Single,Survey,2002,2002,PAPFAM
1723,Algeria,[15-19],Man,Widowed,Survey,2002,2002,PAPFAM
1724,Algeria,[20-24],Man,Widowed,Survey,2002,2002,PAPFAM
1725,Algeria,[25-29],Man,Widowed,Survey,2002,2002,PAPFAM
1726,Algeria,[30-34],Man,Widowed,Survey,2002,2002,PAPFAM
1727,Algeria,[35-39],Man,Widowed,Survey,2002,2002,PAPFAM
1728,Algeria,[40-44],Man,Widowed,Survey,2002,2002,PAPFAM
1729,Algeria,[45-49],Man,Widowed,Survey,2002,2002,PAPFAM
1730,Algeria,[50-54],Man,Widowed,Survey,2002,2002,PAPFAM
1731,Algeria,[55-59],Man,Widowed,Survey,2002,2002,PAPFAM
1732,Algeria,[60-64],Man,Widowed,Survey,2002,2002,PAPFAM
1733,Algeria,[65-69],Man,Widowed,Survey,2002,2002,PAPFAM
1734,Algeria,[15-19],Woman,Divorced,Survey,2002,2002,PAPFAM
1735,Algeria,[20-24],Woman,Divorced,Survey,2002,2002,PAPFAM
1736,Algeria,[25-29],Woman,Divorced,Survey,2002,2002,PAPFAM
1737,Algeria,[30-34],Woman,Divorced,Survey,2002,2002,PAPFAM
1738,Algeria,[35-39],Woman,Divorced,Survey,2002,2002,PAPFAM
1739,Algeria,[40-44],Woman,Divorced,Survey,2002,2002,PAPFAM
1740,Algeria,[45-49],Woman,Divorced,Survey,2002,2002,PAPFAM
1741,Algeria,[50-54],Woman,Divorced,Survey,2002,2002,PAPFAM
1742,Algeria,[55-59],Woman,Divorced,Survey,2002,2002,PAPFAM
1743,Algeria,[60-64],Woman,Divorced,Survey,2002,2002,PAPFAM
1744,Algeria,[65-69],Woman,Divorced,Survey,2002,2002,PAPFAM
1745,Algeria,[15-19],Woman,Married,Survey,2002,2002,PAPFAM
1746,Algeria,[20-24],Woman,Married,Survey,2002,2002,PAPFAM
