p,d,q,MAPE
2,11,8,698508.1982641172
2,11,9,548696.1874247157
2,11,10,626784.1114994272
2,11,11,766652.3013881223
2,11,12,727402.0324043726
2,11,13,741537.6791123941
2,11,14,702887.3484189
2,11,15,727158.6266783684
2,11,16,792308.8562957648
2,11,17,455796.4091865511
2,11,18,2365387339774477.0
2,11,19,644769.4372709608
2,12,1,69335742.66684744
2,12,2,17753762.351942677
2,12,3,3956931.0958873923
2,12,4,347679.52588662686
2,12,5,1335784.8624113302
2,12,7,1343587.1313656003
2,12,8,1380808.2607313185
2,12,9,83031.0641023329
2,12,10,776861.8531087632
2,12,11,934269.9539801006
2,12,12,897291.0039163276
2,12,13,934555.5705233687
2,12,14,1164389.3456982786
2,12,15,1198632.1396524967
2,12,16,1040072.2510562198
2,12,17,976249.5232499454
2,12,18,536941.0895216367
2,12,19,295193.3483340057
2,13,1,223955411.3027059
2,13,2,78111583.9371394
2,13,3,28439734.784131225
2,13,4,7169733.240301834
2,13,5,485517.0032757954
2,13,6,1891539.5763835364
2,13,7,2201597.998584215
2,13,8,1736028.7939059068
2,13,9,3441147.9837790285
2,13,10,840653.2207224695
2,13,11,97282.4359708072
2,13,12,604572.8659296598
2,13,13,1131141.2214950551
2,13,14,1113362.943064021
2,13,15,526173.8314334097
2,13,16,1227331.20204619
2,13,17,1767046.6443140937
2,13,18,2450628.634492531
2,13,19,4910548.6636422025
2,14,1,511752132.6288561
2,14,2,250875934.21015567
2,14,3,117210159.164271
2,14,4,44492183.10848391
2,14,5,16539044.717393992
2,14,6,2550442.1302970015
2,14,7,2170044.8820843333
2,14,8,2688185.213505223
2,14,9,18121270.48796639
2,14,10,8464826.01158677
2,14,11,4121392.6003707447
2,14,12,1802789.0259580042
2,14,13,293086.7332558001
2,14,14,1756586.5731321424
2,14,15,1837858.5863181336
2,14,16,2822534.9165682844
2,14,17,2.010766310499304e+18
2,14,18,426790.65162210725
2,14,19,11087212.914288886
2,15,1,539683009.316173
2,15,2,568540521.1654503
2,15,3,345152931.3265663
2,15,4,173388037.43693084
2,15,5,86314856.40836063
2,15,6,32984636.69095983
2,15,7,2251520.5142699718
2,15,8,21738915.0104869
2,15,9,20922966.918845147
2,15,10,35582347.0764546
2,15,11,23827697.238670614
2,15,12,31930843.278105672
2,15,13,7183531.943186843
2,15,14,6188935.187702531
2,15,15,4244805.461034803
2,15,16,1056705.8683191414
2,15,17,3.009750075410647e+18
2,15,18,13911964.82753691
2,15,19,50204391.95304288
2,16,1,1783061675.1714303
2,16,2,562739173.4245085
2,16,3,713394653.0674242
2,16,4,494620231.4635298
2,16,5,301336175.4653299
2,16,6,155821604.55371904
2,16,7,111154723.98010613
2,16,8,81711138.75405845
2,16,9,11038287.136516923
2,16,10,117539141.98185234
2,16,11,85844366.4486431
2,16,12,195414999.0741302
2,16,13,35935741.122257106
2,16,14,27374730.410223447
2,16,15,17219751.690329112
2,16,16,8678574.518357767
2,16,17,48709447.38260645
2,16,18,24420330.796482183
2,16,19,175622453.70359683
2,17,1,12768269556.912832
2,17,2,2149047004.761833
2,17,3,609355214.310993
2,17,4,978697085.5343404
2,17,5,779627076.9586991
2,17,6,511178961.73255515
2,17,7,149699465.334979
2,17,8,204680071.98978633
2,17,9,171140632.97028795
2,17,10,327584131.9190008
2,17,11,278929031.43434894
2,17,12,164779893.45215267
2,17,13,188571176.23787758
2,17,14,275705250.589943
2,17,16,1094975034999.3323
2,17,17,499975161.5346566
2,17,18,876819196.7445863
2,17,19,826377178.2650222
2,18,1,45308880273.51634
2,18,2,14643940246.313372
2,18,3,2858472833.100006
2,18,4,630467737.2160244
2,18,5,1388475661.7235591
2,18,6,1218245988.5505013
2,18,7,679715203.6800003
2,18,8,208105667.63452923
2,18,9,428444800.0791778
2,18,10,866290606.2989904
2,18,11,599545059.6627165
2,18,12,452297286.6978791
2,18,13,7.820441548008793e+22
2,18,14,818862103.6132907
2,18,15,5549701210771.353
2,18,16,7.112098483715547e+21
2,18,17,890720059.6597793
2,18,18,2036560663.7629762
2,18,19,1548480288.7106152
2,19,1,114842555384.03368
2,19,2,50931799493.71958
2,19,3,18022296586.293217
2,19,4,4648894318.47198
2,19,5,453942018.90600485
2,19,6,1910176218.4606743
2,19,7,2120020802.9132757
2,19,8,1773279997.5399036
2,19,9,1042650507.0056939
2,19,10,2363884945.32124
2,19,11,1457089638.380611
2,19,12,1484463955.8079696
2,19,13,1754798279.3401618
2,19,14,2035240659.1098943
2,19,15,92910006.92453457
2,19,16,2.583511045887796e+21
2,19,17,6810506966.580488
2,19,18,3258505247.660146
2,19,19,3619165823.436447
3,1,1,20.081556571764946
3,1,2,22.97796397320776
3,1,3,18.10633514692336
3,1,4,17.643284253881273
3,1,5,16.634157278092243
3,1,6,16.40241903811641
3,1,7,13.14379843448814
3,1,8,15.7608779116478
3,1,9,10.931629090886346
3,1,10,13.339623904018193
3,1,11,12.216034864452054
3,1,12,12.638774247006381
3,1,13,13.727385659596886
3,1,14,12.849574351375773
3,1,15,16.3096945010843
3,1,16,14.740257827116423
3,1,17,13.662760359268711
3,1,18,13.737345875566206
3,1,19,13.68469799768405
3,2,1,9.906088977043119
3,2,2,9.755145096331953
3,2,3,8.544954978964887
3,2,4,7.565160095627056
3,2,5,13.673736267219263
3,2,6,10.68837833512062
3,2,7,10.767955907597786
3,2,8,9.690144825482633
3,2,9,9.06415401944644
3,2,10,8.89020889963959
3,2,11,7.825513413217558
3,2,12,8.217403567045015
3,2,13,10.838377263208866
3,2,14,9.897243066809773
3,2,15,10.431058480895457
3,2,16,6.340909591042888
3,2,17,6.703189257858694
3,2,18,7.473919369975936
3,2,19,10.955075043579777
3,3,1,32.28713526243762
3,3,2,2.6123350584190264
3,3,3,87.37158826726946
3,3,4,8.773704006512832
3,3,5,12.777563115118005
3,3,6,16.775556454685177
3,3,7,13.87862546949531
3,3,8,39.495402327161216
3,3,9,49.493305272226465
3,3,10,48.28777725967788
3,3,11,58.67787426559431
3,3,12,51.01136814173615
3,3,13,51.34440703527249
3,3,14,55.129926627554504
3,3,15,55.88702218454097
3,3,16,53.289021846030046
3,3,17,57.51480477897629
3,3,18,70.44504934699343
3,3,19,21.15892606923502
3,4,1,303.66966220316385
3,4,2,67.47042854855901
3,4,3,53.18985508505407
3,4,4,132.2928122614953
3,4,5,249.97903761269177
3,4,6,75.83008336819508
3,4,7,101.00447933802768
3,4,8,127.53840813330424
3,4,9,110.61582312223995
3,4,10,100.03802990495095
3,4,11,121.52885000391431
3,4,12,94.66395143872734
3,4,13,95.94249839789416
3,4,14,106.37123838460323
3,4,15,121.40005835161382
3,4,16,110.67574202770724
3,4,17,122.55310865320226
3,4,18,106.81250934317832
3,4,19,95.66541625761816
3,5,1,1212.3060510230177
3,5,2,431.9295860293907
3,5,3,77.52668997103358
3,5,4,795.941151773052
3,5,5,330.6937025065841
3,5,6,324.51657989695406
3,5,7,450.1039001546551
3,5,8,146.10705146286017
3,5,9,293.0567555396346
3,5,10,234.72976633289773
3,5,11,359.26530887943227
3,5,12,554.663891356966
3,5,13,558.8736271362176
3,5,14,602.993868679538
3,5,15,635.5875109996074
3,5,16,760.563779094399
3,5,17,1005.5949763617326
3,5,18,590.1941890268004
3,5,19,13094837.38741402
3,6,1,2772.075305090837
3,6,2,1554.111460183259
3,6,3,613.0135745513037
3,6,4,915.5230887056609
3,6,5,1515.227457203315
3,6,6,1327.8755441519565
3,6,7,1278.2353543576173
3,6,8,1276.1178817422058
3,6,9,1276.3781747271419
3,6,10,1051.1831385498513
3,6,11,1618.791990117649
3,6,12,2463.6898600705554
3,6,13,2789.5750065132343
3,6,14,1876.1336516184929
3,6,15,1735.9326295479732
3,6,16,2024.082511675259
3,6,17,3093.73581402874
3,6,18,938.357159141758
3,6,19,613808920.5767248
3,7,1,42168.38397892199
3,7,2,3722.4821771228562
3,7,3,2283.9768210510033
3,7,4,3086.956971146452
3,7,5,2855.5949877073376
3,7,6,2743.037950031825
3,7,7,2269.5812818832055
3,7,8,375.1708555559916
3,7,9,5573.141364084357
3,7,10,3845.3409297316653
3,7,11,5414.41405922134
3,7,12,5318.801981490584
3,7,13,5318.458965459342
3,7,14,3994.4192419163137
3,7,15,5758.351838824461
3,7,16,5366.706590096347
3,7,17,5605.925673609183
3,7,18,4665.955460732063
3,7,19,21002905666.466732
3,8,1,209889.8583887318
3,8,2,51567.27023197294
3,8,3,8133.204133780702
3,8,4,2597.563426273776
3,8,5,2086.1396387914388
3,8,6,2255.628937332448
3,8,7,8033.103875161562
3,8,8,1817.1562874150202
3,8,9,4479.1037385053305
3,8,10,2808.1093254716893
3,8,11,3253.193048551322
3,8,12,3674.6279459708794
3,8,13,2757.8993670248947
3,8,14,14219.88916977925
3,8,15,6856.975841406605
3,8,16,1302.7831138757704
3,8,17,6420.892678617217
3,8,18,135.68209348534933
3,8,19,60684.60026178436
3,9,1,740956.2498111867
3,9,2,241381.51296004967
3,9,3,103813.99713529908
3,9,4,68483.8713255734
3,9,5,74783.22967870021
3,9,6,104325.89752608308
3,9,7,133734.88484342783
3,9,8,91203.8053162898
3,9,9,63156.15531458073
3,9,10,65031.130247538065
3,9,11,65629.6353124379
3,9,12,74021.42831715438
3,9,13,91600.66787450074
3,9,14,97955.7755309992
3,9,15,81850.39227319861
3,9,16,22591.436625234724
3,9,17,70238.90211596989
3,9,18,10753556296931.514
3,9,19,212895.3467155561
3,10,1,1970922.2227918017
3,10,2,817663.1948139621
3,10,3,474985.1203851929
3,10,5,269608.4124602989
3,10,6,251979.0688488813
3,10,7,423676.7491785921
3,10,8,356352.0046264437
3,10,9,319094.8285298371
3,10,10,230718.01461034644
3,10,11,219961.48998317373
3,10,12,244348.60098185096
3,10,13,304698.3456854974
3,10,14,348724.4856975901
3,10,15,278310.3595378331
3,10,16,316410.0099767436
3,10,17,226661.8366590304
3,10,18,176981015070271.38
3,10,19,436824.42750489793
3,11,1,2264712.931428104
3,11,2,2132225.4996094713
3,11,3,1456649.0940154442
3,11,4,19508377098814.55
3,11,5,652706.3812000585
3,11,6,612161.8413110747
3,11,7,733313.7267706553
3,11,8,701616.4494520416
3,11,9,753406.0264522457
3,11,10,492630.1246751286
3,11,11,468200.61905318045
3,11,12,509275.4821349132
3,11,13,730952.3709301975
3,11,14,666021.6031466962
3,11,15,680563.6519480447
3,11,16,738147.8115482627
3,11,17,591440.1463242889
3,11,18,2365923087226798.5
3,11,19,697334.8267398069
3,12,1,13623442.785540663
3,12,2,2346193.702634382
3,12,3,3368580.4993000473
3,12,4,2350544.6929823174
3,12,6,1237320.3616589527
3,12,7,589162.6708668134
3,12,8,1273918.7943788
3,12,9,1516504.797359643
3,12,10,229381.27231746263
3,12,11,708868.7737140625
3,12,12,1.576629430017654e+16
3,12,13,934330.5895910829
3,12,14,1104771.2138574682
3,12,15,1126104.1884955184
3,12,16,1707750.4858468117
3,12,17,409091.34964323166
3,12,18,67671.29647293485
3,12,19,308196.5490058883
3,13,1,104816648.46696615
3,13,2,14089935.421997545
3,13,3,2781103.4197050408
3,13,4,4914357.467031706
3,13,6,2.0079362222321516e+18
3,13,7,2287099.142089552
3,13,8,507572.54693358333
3,13,9,2244893.502683273
3,13,10,2850896.2210694286
3,13,11,102018.44323566617
3,13,12,760586.1638406869
3,13,13,549831.7961705015
3,13,14,1167583.6743145564
3,13,15,1118293.7933574147
3,13,16,1081676.250092582
3,13,17,1.6412815814620403e+17
3,13,18,974324.7011058001
3,13,19,1627878.6865941752
3,14,1,419570295.93325025
3,14,2,108212980.58577833
3,14,3,25529380.522503886
3,14,4,2969071.2875268646
3,14,5,506549474937452.8
3,14,6,7213100.954176302
3,14,7,1088089.662127372
3,14,8,5653568.286794905
3,14,9,508829.7512209223
3,14,10,2362471.8302873555
3,14,11,5361914.405640213
3,14,12,3084966.197574383
3,14,13,437872.1747986565
3,14,14,1401522.0925237476
3,14,15,848694.1805883967
3,14,16,1466134.4044267726
3,14,17,8.232717216908613e+18
3,14,18,8546456.901366286
3,14,19,8605598.877245096
3,15,1,1198827705.4705167
